First name,Last name,Preferred title,Overview,Position,Department,Individual
Ismail,Capar,Associate Professor,,Faculty Affiliate||Associate Professor,Engineering Technology and Industrial Distribution||Energy Institute,https://scholars.library.tamu.edu/vivo/display/n59912b4f
Xiao,Cen,Assistant Professor,,Assistant Professor,Finance,https://scholars.library.tamu.edu/vivo/display/n59da8a6b
Debora,Correa Talutto,Adjunct Professor,,Adjunct Professor,School of Law,https://scholars.library.tamu.edu/vivo/display/n5d609143
William,Clark,Professor and Head,"My research focus is on comparative and international political economy with an emphasis on the politics of macroeconomic policy in open economy settings.  I am also interested in the political economy of development and the political economy of religion.  Work in the former area includes current projects on the political resource curse, and the economic performance of authoritarian governments and the effect of historical protestant missionary flows on economic growth.",Professor and Head,Political Science,https://scholars.library.tamu.edu/vivo/display/n5e168932
Katherine,Carson,Instructional Assistant Professor,,Instructional Assistant Professor,Soil and Crop Sciences,https://scholars.library.tamu.edu/vivo/display/n5e4bbeb2
Roberto,Carrillo,Adjunct Assistant Professor,,Adjunct Assistant Professor,Orthodontics,https://scholars.library.tamu.edu/vivo/display/n5e8265c9
Charles,Culp,Professor,"Dr. Culp's interests are technology education, improving the comfort/energy efficiency of buildings, involving students in research, combining architecture with technology to achieve high performance buildings, measurement and verification, air flow technology and human comfort in building spaces.",Faculty Affiliate||Faculty Fellow||Professor,Center for Health Systems and Design||Architecture||Energy Institute,https://scholars.library.tamu.edu/vivo/display/n6036ada4
Deborah,Carlson,Associate Professor,"My research focuses on Greek archaeology, Roman archaeology, ancient seafaring, Greek & Roman pottery, Latin, and field archaeology.",Associate Professor,Anthropology,https://scholars.library.tamu.edu/vivo/display/n60a1bfb8
Fred,Clubb,Clinical Professor,"Providing innovative, objective pathology support of the utmost quality to improve medical device technologies and subsequently, patients' lives and creating learning opportunities and new knowledge for students and the scientific community.",Clinical Professor,Veterinary Pathobiology,https://scholars.library.tamu.edu/vivo/display/n62494da9
Stephen,Caffey,Instructional Associate Professor,"Design Thinking and Design Process<br /><br />Visual and Spatial Literacies<br /><br />Virtual Heritage<br /><br />History, Theory, and Criticism of the Built Environment<br /><br />Visual Cultures of Identity",Associate Department Head for MS and PhD Programs||Instructional Associate Professor,Architecture||Architecture,https://scholars.library.tamu.edu/vivo/display/n627a2e11
John,Cason,Assistant Professor,,Assistant Professor,Stephenville Research and Extension Center,https://scholars.library.tamu.edu/vivo/display/n62b9c427
Terry,Creasy,Associate Professor,"Hybrid multifunctional composite materials and nastic composites in passive and active applications Nastic Materials for Active, Shape Changing Composites Experimental methods in material characterization  Solid and fluid mechanics aspects of processing methods Biomedical applications of materials, biological composites",Faculty Affiliate||Associate Professor||Faculty affiliate,Energy Institute||Materials Science and Engineering||Institute for Engineering Education and Innovation,https://scholars.library.tamu.edu/vivo/display/n6393762c
Adam,Case,Associate Professor,"Redox signaling is vital for proper immune system function, yet this area of research is understudied. My graduate career focused on the role of mitochondrial superoxide in T-lymphocyte development. I transitioned this expertise into my postdoctoral training where I examined the role of redox signaling in T-lymphocytes during the pathogenesis of cardiovascular disease. As an independent investigator, I have extended this work to identify the contribution of the immune system and redox signaling to different pathological states of psychological trauma and stress. With this, I am investigating the redox, metabolic, and epigenetic mechanisms that may affect immune cell function and potentiate psychological trauma-mediated inflammatory diseases.",Associate Professor||Associate Professor,Medical Physiology||Psychiatry and Behavioral Sciences,https://scholars.library.tamu.edu/vivo/display/n63d8248e
Juan,Castro,Assistant Professor,,Assistant Professor,Pharmacy Practice,https://scholars.library.tamu.edu/vivo/display/n64c2087c
Marcia,Cooper,Associate Professor,,Associate Professor,Mechanical Engineering,https://scholars.library.tamu.edu/vivo/display/n64f358e9
Lucy,Camacho,"Associate Professor, Department of Environmental Engineering",,"Associate Professor, Department of Environmental Engineering||Faculty Affiliate","Texas A&M University - Kingsville - (Kingsville, Texas, United States)||Energy Institute",https://scholars.library.tamu.edu/vivo/display/n6513ab66
Daren,Cline,Professor,"Stochastic networks, nonlinear time series, ergodicity, Markov chains, distribution tails, regular variation.",Professor,Statistics,https://scholars.library.tamu.edu/vivo/display/n687f38d1
Shaunna,Clark,Associate Professor,"Dr. Clark's research seeks to understand how biological and environmental factors shape substance use and addiction. Specifically, the lab focuses on the role of genetics and epigenetics in the etiology of substance use and addiction and identifying (epi)genetic biomarkers. This line of research will eventually lead to the improvement of diagnosis, prognosis and treatment of substance addiction and its related health effects. We approach these research questions using a translational framework that incorporates both human and animal studies, big data, and advanced statistical modeling techniques.",Associate Professor,Psychiatry and Behavioral Sciences,https://scholars.library.tamu.edu/vivo/display/n69871e1f
Justin,Cantu,Lecturer,,Lecturer,Mathematics,https://scholars.library.tamu.edu/vivo/display/n6a49d3df
Paul,Cizmas,Professor,,Faculty Affiliate||Professor||Faculty Affiliate,Aerospace Engineering||Energy Institute||The Turbomachinery Laboratory,https://scholars.library.tamu.edu/vivo/display/n6b86bf0a
Kimberly,Carlson,Senior Lecturer,,Senior Lecturer,Construction Science,https://scholars.library.tamu.edu/vivo/display/n6b8f1c8d
Timothy,Callaghan,Assistant Professor,,Assistant Professor,Health Policy and Management,https://scholars.library.tamu.edu/vivo/display/n6be1cafe
Gwan,Choi,Associate Professor,"My research interests include fault-tolerance, verification simulation, high-performance VLSI circuits, radiation testing, design for dependability and software engineering.",Associate Professor,Electrical and Computer Engineering,https://scholars.library.tamu.edu/vivo/display/n6c021cf6
Raymundo,Case,Professor of the Practice,My research interests include: corrosion damage distribution model for low alloy steels is CO2/H2S containing environments; pitting a stress corrosion prediction model for stainless steels and CRA's in CO2/H2S containing environments; study of the effect of H2S on the pit growth kinetics and passivity stability in corrosion resistant alloys (CRA); study liquid metal embrittlement (LME) of CRA and High strength Ti by exposure to metallic Hg; and research in corrosion mechanisms and mitigation in super critical environments.,Professor of the Practice,Materials Science and Engineering,https://scholars.library.tamu.edu/vivo/display/n6c6d485e
Robert,Coulson,Professor,,Professor||Collaborating Faculty,Ecology and Conservation Biology||Entomology,https://scholars.library.tamu.edu/vivo/display/n6c800a37
Abraham,Clearfield,Distinguished Professor,"Our research interests are focused in solid state and materials chemistry and encompass a wide variety of projects. An important goal is the ability to design and synthesize new materials whose structure and properties can be predicted and controlled. Layered compounds are amenable to manipulation to produce new structures because of the weak forces between layers. We have learned how to separate the layers of several classes of compounds and are reconstituting them into novel materials. For example, we have prepared staged materials in which alternating layers are hydrophobic and hydrophilic.<br /><br /><br /><br />The surfaces of our layered materials react with a variety of molecules to bond them to the surface. We are developing such materials for drug delivery, heterogeneous catalysis, and polymer-nanoparticle composites.<br /><br /><br /><br />Single crystal X-ray diffraction has been the key tool in elucidating the structure of solids. For many compounds, single crystals are unavailable so that indirect methods need to be used. We pioneered the solution of crystal structures from X-ray powder data and have had considerable success. The methods need to be improved and extended to more complex systems such as poorly crystallized materials. Combined use of X-ray, neutron and synchrotron methods are in progress and extension to EXAFS and amorphous scattering techniques is contemplated.",Distinguished Professor,Chemistry,https://scholars.library.tamu.edu/vivo/display/n6dc4bd81
Weihsueh,Chiu,Professor,,Professor,Veterinary Physiology and Pharmacology,https://scholars.library.tamu.edu/vivo/display/n6e29f354
Jason,Crider,Assistant Professor,"Jason Crider is an Assistant Professor in the Department of English at Texas A&M University. His research interests include digital and medical rhetorics, ecocriticism, technical writing, and disability studies. He is currently working on his first monograph, Prosthetic Rhetoric: Writing and the Networked Body and teaching classes on mobile media composition, rhetorical theory, and environmental literature.",Assistant Professor,English,https://scholars.library.tamu.edu/vivo/display/n6e908276
Aitor,,Research Assistant Professor,,Research Assistant Professor,Aerospace Engineering,https://scholars.library.tamu.edu/vivo/display/n6ee912dd
Craig,Coates,Instructional Associate Professor,,Instructional Associate Professor,Entomology,https://scholars.library.tamu.edu/vivo/display/n6f8163e8
Siu,Chin,Professor,My research currently focuses on Nuclear Theory and Computational Quantum Physics.,Professor,Physics and Astronomy,https://scholars.library.tamu.edu/vivo/display/n6faad4ef
Craig,Conrad,Senior Lecturer,,Senior Lecturer,Engineering Technology and Industrial Distribution,https://scholars.library.tamu.edu/vivo/display/n7255ac47
Monte,Collins,Adjunct Assistant Professor,,Adjunct Assistant Professor,Orthodontics,https://scholars.library.tamu.edu/vivo/display/n7274ff40
Mallory,Compton,Assistant Professor,"Dr. Mallory E. Compton received her Ph.D. in Political Science from Texas A&M University in 2016, and she joined the Public Service & Administration Department in the Bush School at Texas A&M as an Assistant Professor in 2019. Dr. Compton teaches core courses in the Master of Public Service and Administration degree program, including Public Management and Foundations of Public Service. She has twice been awarded the program's Silver Star Faculty Award for excellence in teaching (2021 and 2022). In her research, Dr. Compton studies the political prerequisites of success and performance in bureaucratic agencies, with a focus on the implementation of social welfare policies. Her work addresses questions of organizational performance and equity in administrative processes. Dr. Compton has published 10 peer-reviewed journal articles and three editor-reviewed chapters. Her co-edited book Great Policy Successes was published by Oxford University Press, and her research has appeared in top-tier journals in both political science and public administration, including the Journal of Public Administration Research and Theory, Journal of Politics, State Politics and Policy Quarterly, Public Administration, and Public Management Review. Dr. Compton is chair of 12 masters' committees and a member of five doctoral committees.",Assistant Professor,Public Service and Administration,https://scholars.library.tamu.edu/vivo/display/n740e76c2
Laurrie,,Assistant Lecturer,,Assistant Lecturer,Ocean Engineering,https://scholars.library.tamu.edu/vivo/display/n74afe1e9
Phapanin,Charoenphol,Research Assistant Professor,,Research Assistant Professor,Mechanical Engineering,https://scholars.library.tamu.edu/vivo/display/n754c604c
Mark,Clayton,Professor,"Since the mid-1980's I have explored the effective use and impact of computational technology on architecture. My current agenda is organized around three grand challenges:<br /><br /><br /><br />1.       House 9.5 billion people by the year 2050.<br /><br />2.       Devise methods to achieve sustainable communities.<br /><br />3.       Devise a computational model of architectural and urban beauty.<br /><br /><br /><br />This agenda can be discerned in my publication and activities, in the design work of my students, and in the theses and dissertations that students complete under my supervision.",Faculty Fellow||William M. Pena Endowed Professor of Information Management||Director,Center for Health Systems and Design||Architecture||CRS Center for Leadership and Management in the Design and Construction Industry,https://scholars.library.tamu.edu/vivo/display/n75952a7e
Frederick,Chester,Professor,"My research focuses on experimental rock mechanics, structural geology, ocean drilling sciences, and tectonophysics.",Professor||Faculty Affiliate,Geology and Geophysics||Energy Institute,https://scholars.library.tamu.edu/vivo/display/n7653191a
Michael,Collins,Professor,"My critical writing has (and continues) to explore topics ranging from the consent of the governed to the relationship between risk, ? altruism and sibling rivalry, as those topics are reflected in the works of writers such as Etheridge Knight, Norman Mailer, Richard Wright, and Ayn Rand.",Professor,English,https://scholars.library.tamu.edu/vivo/display/n76997d84
Patricia,Campbell,Professor and Director,,Professor||Executive Director||dental hygiene,Dental Hygiene||Dental Hygiene||Dental Hygiene,https://scholars.library.tamu.edu/vivo/display/n76e03833
Donna,Coussons,Visiting Lecturer,,Visiting Lecturer,Construction Science,https://scholars.library.tamu.edu/vivo/display/n782f7a1a
Nitya,Chawla,Assistant Professor,,Assistant Professor,Management,https://scholars.library.tamu.edu/vivo/display/n78991e9b
Rich,Cooper,Lecturer,,Lecturer,English,https://scholars.library.tamu.edu/vivo/display/n79a7e3c5
Kung-Hui (Bella),Chu,Professor,"Our research interests are in enhancing our understanding of microbial-mediated processes in natural and engineered systems, and in application and development of biotechnology to address various environmental challenges in water, soils, and energy. The Chu lab applies molecular biology, isotopic techniques, chemical analysis, and phage biology to study environmental and biological systems, with  focuses on (i) microbial ecology, fate and transport, biodegradation of environmental pollutants such as emerging contaminants and persistent organic pollutants, (ii) production of biofuels and bioproducts from renewable resources, and (iii) detection, tracking, and quantification of microorganisms that play roles in water quality, bioremediation, carbon sequestration and nitrogen cycle in the environment.  Other research areas include development and application of novel sorbents and catalysts (bio and non-bio) for removing and/or monitoring emerging environmental pollutants.",Faculty Affiliate||Professor,Civil Engineering||Energy Institute,https://scholars.library.tamu.edu/vivo/display/n7a373eec
Daniel,Collins,Lecturer,,Lecturer,Chemistry,https://scholars.library.tamu.edu/vivo/display/n7a4b0888
Lisa,Campbell,Professor,My research focuses on phytoplankton population dynamics; harmful algal blooms and mechanisms of bloom formation; transcriptomics and metabolomics of marine dinoflagellates; ocean observing systems; and flow cytometry and imaging-in-flow cytometry.,Professor||Professor,Oceanography||Biology,https://scholars.library.tamu.edu/vivo/display/n7a7d6659
Juan,Correa,Senior Research Associate,,Senior Research Associate,Corpus Christi Research and Extension Center,https://scholars.library.tamu.edu/vivo/display/n7a7e1802
Sean,Collins,Clinical Assistant Professor,,Clinical Assistant Professor,Small Animal Clinical Sciences,https://scholars.library.tamu.edu/vivo/display/n7ac66dab
Marissa,Cisneros,Assistant Lecturer,,Assistant Lecturer,Veterinary Physiology and Pharmacology,https://scholars.library.tamu.edu/vivo/display/n7b242370
Gerard,Cote,Professor,,Professor,Biomedical Engineering,https://scholars.library.tamu.edu/vivo/display/n7bbfddf5
Ambika,Chandra,Associate Professor,"My primary responsibility and research interest is breeding (applied and molecular) and cultivar development of warm- and cool-season turfgrass species for use in home lawns, athletic fields and golf courses.  This involves adopting holistic systems approach towards cultivar development, marketing and commercialization through industry collaborations; working interactively in the interdisciplinary areas of turfgrass science including turfgrass genomics, physiology, entomology, pathology, soils and socio-economics; developing high-throughput greenhouse/growth chamber phenotyping procedures to efficiently evaluate large breeding (and mapping) populations for important traits of interest including a wide range of biotic and abiotic stress tolerances.  My interests also include graduate student education and training of tomorrow's plant breeders and turfgrass professionals capable of leading a successful career in academia and/or the turfgrass industry.",Associate Professor||Associate Professor||Associate Professor,Soil and Crop Sciences||Dallas Research and Extension Center||Texas A&M AgriLife Research,https://scholars.library.tamu.edu/vivo/display/n7be9df6a
Kunhee,Choi,Associate Professor,,"Associate Research Scientist, Flexible Pavements||Associate Professor",Construction Science||Texas A&M Transportation Institute (TTI),https://scholars.library.tamu.edu/vivo/display/n7cbdac07
Gregory,Colwell,Professor,"My research focuses on adolescent smoking cessation, school health education, youth smoking prevention, and adolescent mental health and substance abuse.",Professor,Health Promotion and Community Health Sciences,https://scholars.library.tamu.edu/vivo/display/n7cd01a7d
Stephen,Crouse,Professor,"My research focus is in the general area of Exercise as Medicine. My specific health-related research aims have been targeted toward the study of the effects of exercise on blood lipid metabolism, and on other accepted heart and cardiovascular disease risk factors in men and women, young and old. Current research in exercise physiology is focused on the adaptive response of the cardiovascular and musculoskeletal system to exercise, nutrition, and physical training using aquatic, endurance, and resistance modalities of exercise. In progress are research projects in sports physiology to profile elite athletes and study factors that contribute to the health of athletes, including nutritional supplements.",Professor,Kinesiology and Sport Management,https://scholars.library.tamu.edu/vivo/display/n7e212aee
Olga,Cooke,Associate Professor,,"Associate Professor, Russian",International Studies,https://scholars.library.tamu.edu/vivo/display/n7f86bdf2
Vanessa,Casado Perez,Associate Professor,"My research interests surround property and water law, and it is driven by real-world problems. I predominantly, though not exclusively, approach these problems through economic analysis.",Associate Professor||Faculty Fellow,Center for Health Systems and Design||School of Law,https://scholars.library.tamu.edu/vivo/display/n80f8fef8
Scott,Cook,Associate Professor,,Associate Professor,Political Science,https://scholars.library.tamu.edu/vivo/display/n822a6a48
Juan,Cornejo,Instructional Assistant Professor,,Instructional Assistant Professor,College of Engineering,https://scholars.library.tamu.edu/vivo/display/n826d294d
Leonardo,Cardoso,Assistant Professor,,Assistant Professor,Performance Studies,https://scholars.library.tamu.edu/vivo/display/n828d7086
Gordon,Carstens,Professor,"In addition to teaching animal nutrition courses, Dr. Carstens conducts research on energy metabolism and growth and development in ruminants. Specific research areas include the regulation of growth and composition of carcass and mammary tissues by nutritional control and the use of externally administered (exogenous) growth regulators. Recent research has focused on methods to increase the ability of newborn calves to produce heat and fight off cold stress and the influence of genetic and nutritional components on this ability.",Professor,Animal Science,https://scholars.library.tamu.edu/vivo/display/n839e23fe
Samuel,Cohn,Professor,,Professor,Sociology,https://scholars.library.tamu.edu/vivo/display/n83ee23b6
Jonathan,Clemetson,"Adjunct Associate Professor, Admissions and Recruitment",,Adjunct Associate Professor - 1,Restorative Sciences,https://scholars.library.tamu.edu/vivo/display/n8441424b
Miguel,Cid Montoya,TEES Researcher at TAMU-Corpus Christi,,Assistant Professor of Civil Engineering||TEES Researcher at TAMU-Corpus Christi,"Texas A&M University - Corpus Christi - (Corpus Christi, Texas, United States)||TEES Regional Divisions",https://scholars.library.tamu.edu/vivo/display/n847ed05a
Dhruva,Chakravorty,Director for User Services and Research,"Cyberinfrastructure technologies,  Cyberinfrastructure facilitation, mixed molecular methods,",Director for User Services and Research,Texas A&M High Performance Research Computing,https://scholars.library.tamu.edu/vivo/display/n848a423d
Yanling,Chang,Assistant Professor,,Faculty Affiliate||Assistant Professor,Engineering Technology and Industrial Distribution||Energy Institute,https://scholars.library.tamu.edu/vivo/display/n85f03121
Judith,Chester,Professor,"My research focuses on the deformation and alteration reactions during faulting, the importance to earthquake nucleation and rupture propagation in the continental crust, mechanisms of creep compaction of reservoir rock, and the mechanics of fold-fault interaction in anisotropic rock.",Professor,Geology and Geophysics,https://scholars.library.tamu.edu/vivo/display/n866736cf
Jerald,Caton,Professor,"My research focuses on internal combustion engines, modeling engine and combustion processes, reducing pollutant emissions, studies of nitric oxide formation and removal, selective non-catalytic (SNCR) and catalytic (SCR) nitric oxide removal technologies, cogeneration, combined cycles, gas turbine power plants, alternative fuels; thermodynamics, heat transfer, fluid mechanics and fundamental and applied combustion topics.",Professor,Mechanical Engineering,https://scholars.library.tamu.edu/vivo/display/n86b569a4
Jonathan,Clark,P-147127 Associate Professor of the Practice,,P-147127 Associate Professor of the Practice,Landscape Architecture and Urban Planning,https://scholars.library.tamu.edu/vivo/display/n86f4d3f6
Amy,Caton,Instructional Associate Professor,"My research and general areas of curiosity are centered around how we navigate diverse learning systems to create knowledge and how to measure the success of translating learning schemas across diverse learning environments. I am looking at Digital Literacy as the focus of my research and how to improve student success in Higher Education through better relevance, instruction, and integration with adjacent disciplinary curriculum. I want people to critically think and be better informed so we can increase civil engagement and empathetic discussions with diverse people in the world.",Instructional Associate Professor,English,https://scholars.library.tamu.edu/vivo/display/n875cb195
Sofokli,Cakalli,TTI Assistant Research Scientist,,TTI Assistant Research Scientist,Roadside Safety,https://scholars.library.tamu.edu/vivo/display/n8995612d
Nathan,Crick,Professor,"Dr. Crick's work explores the relationship between and power throughout different periods of political and social change, focusing specifically on those factors which are result of conscious strategies of persuasion by individuals or groups. This goal requires research into a variety of diverse topics, roughly including classical rhetorical theory, social media, the structure of news, religious rhetoric, modern propaganda, the rhetoric of science and technology, the power of aesthetics, the dynamics of social movements, and the history of philosophy. His first book, Democracy and Rhetoric: John Dewey on the Arts of Becoming, uses Dewey's philosophy to construct a view of rhetoric, logic, and aesthetics that is consistent with an ethics of democracy that promotes creative individuality. His second book, Rhetoric and Power: The Drama of Classical Greece, explores through the texts of canonical authors like Aeschylus, Gorgias, Thucydides, and Plato how rhetoric was conceptualized as a means of constituting and transforming power in Greek political culture. His third book, The Keys of Power: The Rhetoric and Politics of Transcendentalism, interprets the writing and thought of figures like Ralph Waldo Emerson, Henry David Thoreau, and Margaret Fuller as active rhetorical engagements with the political controversies of their time. His fourth book, Dewey for a New Age of Fascism: Teaching Democratic Habits, I use Dewey's late writing to offer a critique of fascist anti-humanism and to contrast it with his ideal of democratic humanism and the arts of rhetoric, logic, and aesthetics that provide their foundation.",Professor,Department of Communication & Journalism,https://scholars.library.tamu.edu/vivo/display/n8a3cbb63
Lauren,Coheley,Instructional Assistant Professor,,Instructional Assistant Professor,Nutrition,https://scholars.library.tamu.edu/vivo/display/n8abcfd99
Francisco,Castellanos Sosa,Lecturer,,Lecturer,International Affairs,https://scholars.library.tamu.edu/vivo/display/n8ac57860
William,Clark,Professor,"I have published widely on a range of topics in American literary study, though my primary interest is in the literature of the American South. I am also the General Editor of the Robert Penn Warren Correspondence Project.",Professor,English,https://scholars.library.tamu.edu/vivo/display/n8c771a5d
Linda,Castillo,Professor,My expertise and research focuses the influence of the acculturation process on Mexican American mental health and educational disparities; marianismo and Latina mental health; and scale development and validity of cultural constructs.,Professor,Educational Psychology,https://scholars.library.tamu.edu/vivo/display/n8ca46988
Richard,Ceen,Adjunct Professor - Term Appoint,,Adjunct Professor - Term Appoint,Orthodontics,https://scholars.library.tamu.edu/vivo/display/n8cb7094b
James,Cai,Professor,"Dr. Cai's research lies at the interface of single-cell biology, computational statistics, and data science. Current research focuses on using machine learning, network science and quantum computing to better understand the diverse behaviors of cells. Dr. Cai's group develops novel algorithms and analytical frameworks to study single-cell omics data from various types of cells, and the genetic basis of phenotypic variability to identify genetic variants that modulate complex phenotypic traits and susceptibility of genetic disorders.",Professor||Professor||Faculty,Veterinary Integrative Biosciences||Center for Statistical Bioinformatics||Electrical and Computer Engineering,https://scholars.library.tamu.edu/vivo/display/n8d287cea
Sunil,Chirayath,Associate Professor,,Faculty affiliate||Associate Professor||Faculty Affiliate,Energy Institute||Nuclear Engineering||Institute for Engineering Education and Innovation,https://scholars.library.tamu.edu/vivo/display/n8d2e4e67
Dara,Childs,Professor,,Professor,Mechanical Engineering,https://scholars.library.tamu.edu/vivo/display/n8d4671a1
Sapna,Chitlapilly Dass,Research Assistant Professor,,Research Assistant Professor,Animal Science,https://scholars.library.tamu.edu/vivo/display/n8db008c6
Gerard,Coleman,Associate Professor of the Practice,,,,https://scholars.library.tamu.edu/vivo/display/n8de91c32
Rebecca,Creasy,Instructional Assistant Professor,,Instructional Assistant Professor||Instructional Assistant Professor,Food Science and Technology||Nutrition,https://scholars.library.tamu.edu/vivo/display/n8f12062f
"",Calil,Assistant Professor and Extension Specialist,,Assistant Professor and Extension Specialist,Agricultural Economics,https://scholars.library.tamu.edu/vivo/display/n93ec98db
Gerard,Carrino,Instructional Professor,"Executive leader of nonprofit organizations with 20+ years of experience and expertise in fund-raising, program development and evaluation, strategic and operational planning, cause marketing, and fiscal oversight. As a senior executive at world-class nonprofit organizations, have succeeded by inspiring and sustaining lean teams of high functioning staff and partners. Highly strategic and analytical, yet humanistic and empathetic, with uncommon ability to present complex data simply and to motivate others to action.",Instructional Professor,Health Policy and Management,https://scholars.library.tamu.edu/vivo/display/n9428764f
Ishara,Casellas Connors,Assistant Professor,,Assistant Professor,Public Service and Administration,https://scholars.library.tamu.edu/vivo/display/n94394333
Claudio,Casola,Assistant Professor,"Our group is interested in studying genome evolution and adaptation in plants, beetles and other organisms using both experimental and computational approaches.<br /><br /><br /><br />Research topics in our group include gene evolution via de novo  formation, gene duplication and horizontal transfer; genetic basis of drought tolerance and adaptation to aridity in conifers; evolution of the tree-killing habit in bark beetles.<br /><br /><br /><br />We work in collaboration with scientists at TAMU, the University of Kentucky, Pisa University (Italy), the Texas A&M Forest Service, the ESSM Department Forest Science Laboratory and the USDA Forest Service Southern Research Station.",Assistant Professor,Ecology and Conservation Biology,https://scholars.library.tamu.edu/vivo/display/n94d8cb9d
Shankararaman,Chellam,Professor,"Our research covers a wide spectrum of topics related to the transport, characterization, and removal of environmental colloids.  We collaborate synergistically with microbiologists, chemical engineers, mathematicians, medical doctors, geologists, and other environmental engineers and scientists.  In particular, we investigate two seemingly disparate topics; water purification (treatment of drinking water, industrial and municipal wastewater including hydraulic fracturing water, etc.) and tropospheric aerosols.",Professor,Civil Engineering,https://scholars.library.tamu.edu/vivo/display/n94ff0cee
William,Cohn,Instructional Assistant Professor,,Instructional Assistant Professor,Biology,https://scholars.library.tamu.edu/vivo/display/n952f03c2
Cheryl,Craig,Professor,"Cheryl J. Craig is a Professor, an Endowed Chair of Urban Education and the Program Lead for Technology and Teacher Education in the Department of Teaching, Learning and Culture, Texas A&M University. She is an American Educational Research Association (AERA) Fellow, a recipient of the AERA Division B (Curriculum) Outstanding Lifetime Career Award, a winner of the AERA Division K (Teaching & Teacher Education) Legacy Award and has been honored with AERA's Michael Huberman Award for Outstanding Contributions to Understanding the Lives of Teachers. She additionally was awarded the AERA Exemplary Research in Teaching and Teacher Education in 2021. Craig also has been honored with the International Study Association on Teachers and Teaching STAR Award for Significant and Exemplary Contributions through Research, Teaching and Professional Service in the International Field of Teaching and Teacher Education. Being an AERA Fellow and an ISATT STAR awardee, coupled with her many other recognitions (including KDP Teacher of the Year) make her one of the most distinguished professors in teaching and teacher education and the general field of education today. Further proof is that she is the only professor in AERA history to be honored with the Division K Legacy Award and Division K Exemplary Research Award in the same year (2021).","Professor||Founding Director, Collaborative for Innovation in Teacher Education||Houston Endowment Endowed Chair of Urban Education","School of Education and Human Development||School of Education and Human Development||Teaching, Learning and Culture",https://scholars.library.tamu.edu/vivo/display/n953e5235
Joyce,Cavanagh,Associate Professor and Extension Specialist,,Associate Professor and Extension Specialist,Texas A&M Transportation Institute (TTI),https://scholars.library.tamu.edu/vivo/display/n96aeb007
Salvatore,Calabrese,Assistant Professor,"Our research aims at quantifying the interaction between the hydrologic cycle and the physical and biochemical processes in the soil and throughout the Critical Zone, with an emphasis on the role of hydro-climatic fluctuations. By improving our understanding of the complex dynamics of the water and nutrient cycles, we seek to develop quantitative tools that help us preserve soil ecosystem services, such as soil and plant carbon storage, and prevent our ecosystems from degrading.<br /><br /><br /><br />To tackle such fundamental questions on these rather complex biotic/abiotic interactions and shed light on their dominant dynamics, we borrow tools from fluid mechanics, dynamical system theory, stochastic processes and thermodynamics to use in conjunction with experimental observations.<br /><br /><br /><br />Specific research projects include modeling soil moisture dynamics and its control on biogeochemical cycle across climatic gradients, identification of long terms hydro-climatic drivers of chemical weathering, estimation of long term hydrologic and energy partitioning, quantification of soil formation processes, and modeling the effect of water management strategies.",Assistant Professor,Biological and Agricultural Engineering,https://scholars.library.tamu.edu/vivo/display/n9705ab00
Richard,Curry,Associate Professor,,Associate Professor,Hispanic Studies,https://scholars.library.tamu.edu/vivo/display/n9740c128
Jasen,Castillo,Associate Professor,"Jasen Castillo is an associate professor in the Bush School of Government and Public Service at Texas A&M University. Prior to joining the Bush School, Jasen worked in the Department of Defense's Policy Planning Office. Before working in the Office of the Secretary of Defense, he was an analyst at the RAND Corporation, where his research focused on military strategy, nuclear deterrence, and WMD terrorism. Prior to RAND, he was a consultant for the Institute for Defense Analyses. Dr. Castillo earned his PhD in political science from the University of Chicago, where he received research support from the National Science Foundation and the Smith Richardson Foundation. His research interests include US defense policy, military history and nuclear deterrence.",Academic Director||Faculty Affiliate||Associate Professor,International Affairs||Energy Institute||Albritton Center for Grand Strategy,https://scholars.library.tamu.edu/vivo/display/n980e771d
Andrew,Crocker,Senior Extension Program Specialist,,"Extension Program Specialist, Family and Community Health||Senior Extension Program Specialist",Texas A&M Transportation Institute (TTI)||Amarillo Research and Extension Center,https://scholars.library.tamu.edu/vivo/display/n99e319e0
Hafiz,Choudhury,Adjunct Professor,,Adjunct Professor,School of Law,https://scholars.library.tamu.edu/vivo/display/n99e9d4f1
Heidi,Craig,Assistant Professor,,Assistant Professor,English,https://scholars.library.tamu.edu/vivo/display/n9bfac4b8
Kevin,Crosby,Professor,"Dr. Crosby's area of research is plant breeding and genetics of vegetable crops. He has worked on melon, pepper, tomato, onion and carrot. The main emphasis of his research has been the elucidation of genetic mechanisms for stress tolerance and enhanced nutritional quality. Dr. Crosby has discovered several novel traits and studied their inheritance in both melon and pepper. These range from root physiology and vigor to virus and insect resistance.  His program also has developed a genetic linkage map of melon with DNA markers linked to several key traits.   The development of thousands of novel families for genetic studies has also produced elite breeding lines for commercial seed companies and 9 cultivar releases.  In addition, Dr. Crosby has developed unique, high antioxidant pepper lines with flavonoid and ascorbic acid levels more than 400% higher than commercial cultivars.",Professor,Horticultural Sciences,https://scholars.library.tamu.edu/vivo/display/n9db4acaa
Robert,Carson,Assistant Professor,,Assistant Professor,Texas A&M University at Qatar,https://scholars.library.tamu.edu/vivo/display/n9e94b9d8
Gregory,Cokinos,Visiting Lecturer,,Visiting Lecturer,Construction Science,https://scholars.library.tamu.edu/vivo/display/na017b966
